Player,S/C,Pos,GP,G,A,P,+/-,PIM,P/GP,EVG,EVP,PPG,PPP,SHG,SHP,OTG,GWG,S,S%,TOI/GP,FOW%
Brian Leetch,L,D,1205,247,781,1028,25,571,0.85,128,464,111,542,8,22,7,38,3640,7,--,0
Patrik Elias,L,C,1240,408,617,1025,172,549,0.83,279,659,113,333,16,33,16,80,3287,12,--,43
Brian Bellows,R,L,1188,485,537,1022,-120,718,0.86,274,585,198,415,13,22,7,58,3587,14,--,0
Rod Gilbert,R,R,1065,406,615,1021,38,510,0.96,298,698,108,323,0,0,0,52,3142,13,--,--
Dale Hunter,L,C,1407,323,697,1020,101,3565,0.72,221,748,92,245,10,27,4,42,2047,16,--,53
Ryan Getzlaf,R,C,1157,282,737,1019,102,960,0.88,188,664,86,341,8,14,11,57,2559,11,1,49
Pat LaFontaine,R,C,865,468,545,1013,-6,552,1.17,301,613,156,389,11,11,4,59,2664,18,--,54
Steve Larmer,L,R,1006,441,571,1012,203,532,1.01,255,590,162,367,24,55,1,60,2807,16,--,--
Lanny McDonald,R,R,1111,500,506,1006,39,899,0.91,350,675,139,316,11,15,0,54,3444,15,--,--
Brian Propp,L,L,1016,425,579,1004,298,825,0.99,283,631,120,323,22,50,1,59,3119,14,--,--
Claude Giroux,R,R,1100,329,673,1002,38,452,0.91,229,611,93,374,7,17,12,52,2862,12,1,56
Joe Pavelski,R,C,1250,449,552,1001,189,438,0.80,274,621,165,362,10,18,4,71,3512,13,1,55
Jason Spezza,R,C,1248,363,632,995,5,604,0.80,243,624,117,366,3,5,3,55,2866,13,1,53
Phil Kessel,R,R,1286,413,579,992,-155,402,0.77,293,658,119,333,1,1,11,70,3849,11,1,42
Paul Kariya,L,L,989,402,587,989,31,399,1.00,246,576,139,390,17,23,4,53,3509,12,--,41
